Index;Playername;Score;player_id
1;Scherom;20984730;27022026-0W568024
2;Michachisa;16306613;27022026-0Z906299
3;Sky Bum;15753350;27022026-0B964735
4;Chrizzly12;15727870;27022026-0Y629632
5;StefNinja;15368281;27022026-0W942940
6;Malloan;14134170;02032026-0F589565
7;Avonglati;13429838;27022026-0J535902
8;Kiwi mojo;13040442;27022026-0X678465
9;MateoJ3T;12743071;27022026-0X413496
10;redskin sw;12705824;27022026-0X702646
11;Muryōkūsho;12567139;27022026-0A442785
12;Rousssi;12360919;02032026-0I633901
13;Lucifi3r;12237636;27022026-0E305366
14;StanTheMan078;12225145;27022026-0E748278
15;Sphen of love;11543811;27022026-666X284685
16;SkyEddy1;11062480;27022026-0U569979
17;Cherwoo White Rabbit;10880609;27022026-0A151185
18;666pyro666;10377536;27022026-0F244542
19;Alexys99;10162175;27022026-0F956013
20;Queen Anne ll;10085858;27022026-0U759405
21;DominusMaximus;9856235;27022026-0P738248
22;out of game;9764311;27022026-0X534888
23;Mustang3110;9448084;27022026-0I448270
24;Vaidosius;9250750;27022026-0N822529
25;JG1000;8815330;28022026-0B188477
26;Memento x Mori;8602243;27022026-0O401672
27;TåNø;8600894;27022026-0S338920
28;Mystyyy;8489704;27022026-0J796045
29;Kaelvornn;8122631;28022026-0F323457
30;Ati0307;7989125;27022026-0B736222
31;Lord Voldemaschine;7972625;27022026-0S920742
32;pontios1982;7652054;28022026-0Y425865
33;Krismaski;7623044;27022026-0G226654
34;Mapthemachine;7615472;02032026-0J916925
35;Lady Voldemordine;7558900;27022026-0M302133
36;Jeremy2626;7532133;27022026-0X928765
37;Flatulax;7510100;28022026-0B542343
38;TankLadyB;7480971;27022026-0Q651757
39;Rafmac90;7464804;27022026-0B676774
40;FESC10;7401048;27022026-0K379920
41;Marcin747;7387313;27022026-0B443842
42;Anarchythewildone;7376107;27022026-0B975195
43;UniField 101;7360937;27022026-0B621341
44;Mepr;7315800;27022026-0O641712
45;Kingstanator;7240810;27022026-0Z100227
46;Superstorm08;7214335;27022026-0Z974905
47;Sparta2876;7203277;27022026-0L227344
48;Ozzy181994;7040830;27022026-0H344530
49;Scoorpic;6798525;27022026-0M961163
50;whatyousay;6517961;28022026-0W747740
51;Qrypsis;6396415;27022026-0J150156
52;Bru line;6140493;02032026-0P562685
53;serbus zagreb;5945397;27022026-0Z138970
54;Dedaloς;5881650;27022026-0Z983319
55;atomic armadillo;5316375;27022026-0I789470
56;1nū KubØ;5247305;02032026-0L742379
57;Myth pala;5200278;27022026-0I601222
58;finecIame;5121925;27022026-0J849824
59;Sbanferr;5120625;27022026-0H732678
60;Fuzzy Cluster;4902165;27022026-0N679616
61;Aquarivs;4856859;27022026-0F386580
62;DraAgo0n;4800087;04032026-0N722547
63;Dradeliomecus;4775575;27022026-0Z314234
64;krokre2;4527295;27022026-0P306296
65;duffyduckling;4404012;27022026-0R593143
66;domba98;4352035;27022026-0T411972
67;Davidx08;4293729;27022026-0W370741
68;Adiksonrpk;4225948;27022026-0F598013
69;Ibo212121;4107375;27022026-0N823518
70;ponghi;3979099;27022026-0V597705
71;Quatraz;3941590;27022026-0U729737
72;NOÉLINE;3905255;27022026-0F809577
73;Pablo 1010;3896520;27022026-0U303921
74;Olmer The Great I;3760893;27022026-0B805605
75;Damian 4488;3593612;27022026-0I914905
76;Marcatuz;3406568;27022026-0P598551
77;CrimsonCriminal;3259968;27022026-0O689243
78;Tata111225;3183077;27022026-0G180117
79;Bladerunner74;3140450;27022026-0Q377100
80;ᴛᴀᴘɪ;3127208;27022026-0N598990
81;Jo8sk;3120897;02032026-0X761539
82;Relnevs;3117491;27022026-0E317889
83;ThisIsLoreeP;3109125;27022026-0P478090
84;Pumarose;2969447;27022026-0U156592
85;CyberSagE;2748210;27022026-0R916570
86;Lady Voldegardine;2745950;27022026-0Z247821
87;NagatoUwU;2580800;27022026-0Q184354
88;Tugtug17;2528375;27022026-0N645728
89;SilenceBG;2487304;27022026-0N539263
90;Bongomarvin;2099093;27022026-0R887817
91;CG  Kills;2032337;27022026-0O872732
92;straight 0090;2000790;27022026-0G246820
93;TesterXo;1731260;27022026-0B939820
94;Mighty Ghost;1186610;27022026-0D172164
95;Blo0dThiRsTy;1175000;27022026-0I809518
96;Miggaboy;1009494;27022026-0F445976
