Index;Playername;Score;player_id
1;StefNinja;50529042;27022026-0W942940
2;Memento x Mori;43660738;27022026-0O401672
3;SkyEddy1;30302702;27022026-0U569979
4;Avonglati;29722202;27022026-0J535902
5;MateoJ3T;29452725;27022026-0X413496
6;Kiwi mojo;28059748;27022026-0X678465
7;DominusMaximus;27677748;27022026-0P738248
8;CG  Kills;26462926;27022026-0O872732
9;Muryōkūsho;25847885;27022026-0A442785
10;Queen Anne ll;24868087;27022026-0U759405
11;StanTheMan078;24041178;27022026-0E748278
12;Sky Bum;22677460;27022026-0B964735
13;TåNø;22365506;27022026-0S338920
14;Sparta2876;21773110;27022026-0L227344
15;Scoorpic;21730494;27022026-0M961163
16;Kingstanator;21557980;27022026-0Z100227
17;Sphen of love;21544286;27022026-666X284685
18;JG1000;21174070;28022026-0B188477
19;Sbanferr;20225580;27022026-0H732678
20;Mystyyy;19541306;27022026-0J796045
21;Lady Voldegardine;18564368;27022026-0Z247821
22;Lord Voldemaschine;18108304;27022026-0S920742
23;Michachisa;18078612;27022026-0Z906299
24;whatyousay;18058542;28022026-0W747740
25;Lady Voldemordine;17247400;27022026-0M302133
26;BaggerVancer;17173854;27022026-0E533809
27;Jeremy2626;17041992;27022026-0X928765
28;Mepr;17019646;27022026-0O641712
29;Rafmac90;16944288;27022026-0B676774
30;Anarchythewildone;16713186;27022026-0B975195
31;Vaidosius;15649330;27022026-0N822529
32;Scherom;15206304;27022026-0W568024
33;Qrypsis;14931312;27022026-0J150156
34;Cherwoo White Rabbit;14576360;27022026-0A151185
35;FESC10;14424460;27022026-0K379920
36;Davidx08;14150782;27022026-0W370741
37;Superstorm08;13953866;27022026-0Z974905
38;krokre2;13880852;27022026-0P306296
39;TankLadyB;13710060;27022026-0Q651757
40;Mighty Ghost;13366796;27022026-0D172164
41;Ati0307;13279344;27022026-0B736222
42;Lucifi3r;13208364;27022026-0E305366
43;Dedaloς;13120886;27022026-0Z983319
44;Bladerunner74;13075836;27022026-0Q377100
45;straight 0090;12971462;27022026-0G246820
46;Marcin747;12953346;27022026-0B443842
47;Fuzzy Cluster;12881206;27022026-0N679616
48;CyberSagE;12801788;27022026-0R916570
49;Quatraz;12523692;27022026-0U729737
50;Chrizzly12;12299328;27022026-0Y629632
51;ᴄʜɪᴄᴋᴇɴ;12013778;27022026-0S340208
52;Adiksonrpk;11889704;27022026-0F598013
53;Dradeliomecus;11666948;27022026-0Z314234
54;atomic armadillo;11659798;27022026-0I789470
55;out of game;11425628;27022026-0X534888
56;Ozzy181994;11222130;27022026-0H344530
57;domba98;11187212;27022026-0T411972
58;Whispera;11123264;27022026-0O221816
59;TesterXo;10864436;27022026-0B939820
60;Ibo212121;10582988;27022026-0N823518
61;Flatulax;10447966;28022026-0B542343
62;UniField 101;10363912;27022026-0B621341
63;Relnevs;10043408;27022026-0E317889
64;duffyduckling;9952200;27022026-0R593143
65;Mustang3110;9858170;27022026-0I448270
66;666pyro666;9796792;27022026-0F244542
67;Krismaski;9567466;27022026-0G226654
68;UrGnie;9140202;27022026-0H771285
69;Olmer The Great I;9056370;27022026-0B805605
70;ThisIsLoreeP;8813808;27022026-0P478090
71;Miggaboy;8702462;27022026-0F445976
72;Damian 4488;8680180;27022026-0I914905
73;Myth pala;8658118;27022026-0I601222
74;Alexys99;8626862;27022026-0F956013
75;Tugtug17;8500982;27022026-0N645728
76;pontios1982;8403740;28022026-0Y425865
77;ᴛᴀᴘɪ;8403348;27022026-0N598990
78;Wujek Samo Zło;8329336;27022026-0G467101
79;Pumarose;8256602;27022026-0U156592
80;Tata111225;8000616;27022026-0G180117
81;NOÉLINE;7983086;27022026-0F809577
82;Aquarivs;7772046;27022026-0F386580
83;Small Richard;7614618;27022026-0H649953
84;Pablo 1010;7533306;27022026-0U303921
85;Marcatuz;7505012;27022026-0P598551
86;serbus zagreb;7419760;27022026-0Z138970
87;redskin sw;7335336;27022026-0X702646
88;finecIame;7271166;27022026-0J849824
89;ponghi;7219360;27022026-0V597705
90;Bongomarvin;6231476;27022026-0R887817
91;Taibo1988;5733405;27022026-0G497261
92;Nyxxfall;5548588;27022026-0W836537
93;NagatoUwU;5223162;27022026-0Q184354
94;Blo0dThiRsTy;4200000;27022026-0I809518
95;Tеddу Вeаr;3701786;27022026-0L489800
96;CrimsonCriminal;3016640;27022026-0O689243
97;SilenceBG;1695738;27022026-0N539263
