Index;Playername;Score;player_id
1;StefNinja;18011092;27022026-0W942940
2;Queen Anne II;45493247;27022026-0U759405
3;SkyEddy1;48438493;27022026-0U569979
4;666pyro666;45892053;27022026-0F244542
5;Muryōkūsho;10745832;27022026-0A442785
6;Kiwi mojo;16377321;27022026-0X678465
7;Scherom;24390833;27022026-0W568024
8;Sky Bum;7343381;27022026-0B964735
9;Memento x Mori;7211925;27022026-0O401672
10;MateoJ3T;11008282;27022026-0X413496
11;Avonglati;3135804;27022026-0J535902
12;DominusMaximus;7811306;27022026-0P738248
13;CG Kills;9173124;27022026-0O872732
14;StanTheMan078;7333185;27022026-0E748278
15;Sphen of love;5538706;27022026-666X284685
16;Kingstanator;5235755;27022026-0Z100227
17;redskin sw;24365554;27022026-0X702646
18;Scoorpic;4203847;27022026-0M961163
19;Vaidosius;7503280;27022026-0N822529
20;Cherwoo White Rabbit;18100288;27022026-0A151185
21;Michachisa;7505518;27022026-0Z906299
22;Lady Voldegardine;3986500;27022026-0Z247821
23;Chrizzly12;9736161;27022026-0Y629632
24;Sbanferr;7207579;27022026-0H732678
25;Superstorm08;4274978;27022026-0Z974905
26;JG1000;2741834;28022026-0B188477
27;Rafmac90;6895759;27022026-0B676774
28;TankLadyB;5179918;27022026-0Q651757
29;Lady Voldemordine;5027471;27022026-0M302133
30;whatyousay;5601804;28022026-0W747740
31;Mystyyy;10690453;27022026-0J796045
32;TåNø;6422117;27022026-0S338920
33;Sparta2876;4802222;27022026-0L227344
34;CHICKEN;15239565;27022026-0S340208
35;Ati0307;3605111;27022026-0B736222
36;Mepr;53803566;27022026-00641712
37;BaggerVancer;7386187;27022026-0E533809
38;atomic armadillo;7618844;27022026-0I789470
39;Marcin747;3877100;27022026-0B443842
40;Anarchythewildone;2796202;27022026-0B975195
41;out of game;3034935;27022026-0X534888
42;Lord Voldemaschine;2119375;27022026-0S920742
43;Alexys99;9320648;27022026-0F956013
44;Tugtug17;3825131;27022026-0N645728
45;Dedaloç;3110184;27022026-0Z983319
46;Davidx08;3878423;27022026-0W370741
47;Adiksonrpk;7599779;27022026-0F598013
48;Ozzy181994;4773151;27022026-0H344530
49;UniField 101;4838767;27022026-0B621341
50;Lucifi3r;3314628;27022026-0E305366
51;krokre2;10222952;27022026-0P306296
52;Krismaski;2488181;27022026-0G226654
53;Dradeliomecus;1836125;27022026-0Z314234
54;Mustang3110;2911402;27022026-0I448270
55;Damian 4488;7483647;27022026-0I914905
56;TesterXo;2000000;27022026-0B939820
57;Jeremy2626;1028524;27022026-0X928765
58;domba98;2353430;27022026-0T411972
59;FESC10;200000;27022026-0K379920
60;Flatulax;1896125;28022026-0B542343
61;Ibo212121;2101375;27022026-0N823518
62;ponghi;2476801;27022026-0V597705
63;Qrypsis;1709325;27022026-0J150156
64;Fuzzy Cluster;2050872;27022026-0N679616
65;serbus zagreb;1051875;27022026-0Z138970
66;Relnevs;1988125;27022026-0E317889
67;straight 0090;1650625;27022026-0G246820
68;Bladerunner74;1187219;27022026-0Q377100
69;fineclame;3610904;27022026-0J849824
70;CyberSagE;950000;27022026-0R916570
71;Olmer The Great I;1994375;27022026-0B805605
72;Myth pala;2965310;27022026-0I601222
73;NOÉLINE;3441861;27022026-0F809577
74;UrGnie;1899500;27022026-0H771285
75;Whispera;5680262;27022026-0O221816
76;Aquarivs;5909329;27022026-0F386580
77;duffyduckling;1524457;27022026-0R593143
78;Taibo1988;3355136;27022026-0G497261
79;Pumarose;3758758;27022026-0U156592
80;NagatoUwU;2092776;27022026-0Q184354
81;Marcatuz;2628375;27022026-0P598551
82;TAPI;1261267;27022026-0N598990
83;Quatraz;3357635;27022026-0U729737
84;Tata111225;1943750;27022026-0G180117
85;Mighty Ghost;312125;27022026-0D172164
86;Pablo 1010;3085875;27022026-0U303921
87;ThisIsLoreeP;1150000;27022026-0P478090
88;Miggaboy;1500;27022026-0F445976
89;Bongomarvin;1350000;27022026-0R887817
90;Nyxxfall;2351750;27022026-0W836537
91;Small Richard;23516594;28022026-0H649953
92;CrimsonCriminal;3629721;27022026-0O689243
93;pontios1982;2131717;28022026-0Y425865
94;BloOdThiRsTy;0;27022026-0I809518
95;SilenceBG;3670966;27022026-0N539263
96;Teddy Bear;2098935;27022026-0L489800
97;Wujek Samo Z?o;-1776;27022026-0G467101
