Index;Playername;Score;player_id
1;StefNinja;142401389;27022026-0W942940
2;Rousssi;121489266;02032026-0I633901
3;Muryökûsho;115053882;27022026-0A442785
4;Queen Anne II;102335419;27022026-0U759405
5;666pyro666;101801566;27022026-0F244542
6;Malloan;101599713;02032026-0F589565
7;SkyEddy1;94962050;27022026-0U569979
8;Cherwoo White Rabbit;86498128;27022026-0A151185
9;Sky Bum;85122770;27022026-0B964735
10;Avonglati;79964573;27022026-0J535902
11;Chrizzly12;77091535;27022026-0Y629632
12;Scherom;72116966;27022026-0W568024
13;MateoJ3T;70107183;27022026-0X413496
14;Kiwi mojo;68631049;27022026-0X678465
15;Sphen of love;68117307;27022026-666X284685
16;StanTheMan078;67934616;27022026-0E748278
17;Michachisa;67213184;27022026-0Z906299
18;Lady Voldemordine;63676685;27022026-0M302133
19;Kingstanator;61557626;27022026-0Z100227
20;JG1000;61218980;28022026-0B188477
21;Memento x Mori;59889378;27022026-0O401672
22;Kaelvorrn;59812287;28022026-0F323457
23;Mystyyy;59522572;27022026-0J796045
24;DominusMaximus;59058297;27022026-0P738248
25;Scoorpic;58415300;27022026-0M961163
26;Sparta2876;58231055;27022026-0L227344
27;TåNo;57469213;27022026-0S338920
28;Alexys99;56249299;27022026-0F956013
29;Vaidosius;55164525;27022026-0N822529
30;Mepr;54378117;27022026-0O641712
31;krokre2;54137902;27022026-0P306296
32;redskin sw;53645370;27022026-0X702646
33;Jo8sk;52259381;02032026-0X761539
34;Mapthemachine;50668910;02032026-0J916925
35;TankLadyB;50228134;27022026-0Q651757
36;Lord Voldemaschine;49451510;27022026-0S920742
37;Qrypsis;49120135;27022026-0J150156
38;Anarchythewildone;48331702;27022026-0B975195
39;Marcin747;47609644;27022026-0B443842
40;Rafmac90;46577984;27022026-0B676774
41;Bru line;45596843;02032026-0P562685
42;out of game;45199149;27022026-0X534888
43;atomic armadillo;44227822;27022026-0I789470
44;Mustang3110;44027513;27022026-0I448270
45;Ati0307;42340103;27022026-0B736222
46;fineclame;41673057;27022026-0J849824
47;Fuzzy Cluster;41637425;27022026-0N679616
48;Superstorm08;41256331;27022026-0Z974905
49;whatyousay;40982038;28022026-0W747740
50;Relnevs;40921049;27022026-0E317889
51;Flatulax;40634770;28022026-0B542343
52;1nū KubØ;40470746;02032026-0L742379
53;Lucifi3r;40083671;27022026-0E305366
54;Sbanferr;39680548;27022026-0H732678
55;FESC10;39066282;27022026-0K379920
56;Bladerunner74;37725728;27022026-0Q377100
57;Adikonrpk;37191403;27022026-0F598013
58;Ozzy181994;37126793;27022026-0H344530
59;pontios1982;36681713;28022026-0Y425865
60;Jeremy2626;36650650;27022026-0X928765
61;Ibo212121;36484157;27022026-0N823518
62;ponghi;36459119;27022026-0V597705
63;CG Kills;35899701;27022026-0O872732
64;Dradeliomecus;35758744;27022026-0Z314234
65;domba98;34936046;27022026-0T411972
66;Aquarivs;34186501;27022026-0F386580
67;Krismaski;33655425;27022026-0G226654
68;Olmer The Great I;33338748;27022026-0B805605
69;CyberSagE;33308415;27022026-0R916570
70;Lady Voldegardine;33277986;27022026-0Z247821
71;Pumarose;32954717;27022026-0U156592
72;duffyduckling;32650444;27022026-0R593143
73;TesterXo;32237501;27022026-0B939820
74;Myth pala;30999666;27022026-0I601222
75;Dedaloς;30490180;27022026-0Z983319
76;UniField 101;30369045;27022026-0B621341
77;CrimsonCriminal;30233088;27022026-0O689243
78;Taibo1988;29702235;27022026-0G497261
79;serbus zagreb;29604435;27022026-0Z138970
80;Damian 4488;29123389;27022026-0I914905
81;NagatoUwU;29082028;27022026-0Q184354
82;straight 0090;27053621;27022026-0G246820
83;Bongomarvin;26826476;27022026-0R887817
84;Davidx08;26631054;27022026-0W370741
85;ThisIsLoreeP;25717485;27022026-0P478090
86;Pablo 1010;25100290;27022026-0U303921
87;NOÉLINE;24249723;27022026-0F809577
88;Tata111225;24117624;27022026-0G180117
89;Marcatuz;22701904;27022026-0P598551
90;DraAgoOnNiki;20029720;04032026-0N722547
91;SilenceBG;19946624;27022026-0N539263
92;Blo0dThiRsTy;16571326;27022026-0I809518
93;Tugtug17;13781589;27022026-0N645728
94;Mighty Ghost;12345169;27022026-0D172164
95;Quatraz;10598724;27022026-0U729737
96;Miggaboy;9298687;27022026-0F445976
