Index;Playername;Score;player_id
1;Rousssi;35364772;02032026-0I633901
2;Queen Anne ll;31129540;27022026-0U759405
3;Muryōkūsho;29486644;27022026-0A442785
4;StefNinja;25319938;27022026-0W942940
5;Cherwoo White Rabbit;22385260;27022026-0A151185
6;Kaelvornn;19172584;28022026-0F323457
7;Alexys99;16155774;27022026-0F956013
8;Malloan;14025390;02032026-0F589565
9;Kingstanator;13416672;27022026-0Z100227
10;Marcin747;12155384;27022026-0B443842
11;Anarchythewildone;11687070;27022026-0B975195
12;Memento x Mori;11392460;27022026-0O401672
13;Sky Bum;11273600;27022026-0B964735
14;Sparta2876;11030990;27022026-0L227344
15;Kiwi mojo;11017514;27022026-0X678465
16;Mustang3110;10750032;27022026-0I448270
17;krokre2;10626268;27022026-0P306296
18;MateoJ3T;10612316;27022026-0X413496
19;Jo8sk;10500882;02032026-0X761539
20;Bladerunner74;9897726;27022026-0Q377100
21;Mapthemachine;9838462;02032026-0J916925
22;Lady Voldemordine;9772252;27022026-0M302133
23;Scoorpic;9561906;27022026-0M961163
24;duffyduckling;9453120;27022026-0R593143
25;StanTheMan078;9265930;27022026-0E748278
26;Avonglati;9197322;27022026-0J535902
27;Mystyyy;9187302;27022026-0J796045
28;TåNø;8864138;27022026-0S338920
29;Pumarose;8816218;27022026-0U156592
30;666pyro666;8595240;27022026-0F244542
31;Chrizzly12;8321054;27022026-0Y629632
32;ponghi;8083066;27022026-0V597705
33;atomic armadillo;8053318;27022026-0I789470
34;whatyousay;7899652;28022026-0W747740
35;Relnevs;7891980;27022026-0E317889
36;Vaidosius;7858456;27022026-0N822529
37;out of game;7697704;27022026-0X534888
38;Adiksonrpk;7639294;27022026-0F598013
39;Sphen of love;7638686;27022026-666X284685
40;redskin sw;7594772;27022026-0X702646
41;TesterXo;7584354;27022026-0B939820
42;1nū KubØ;7500096;02032026-0L742379
43;Marcatuz;7458600;27022026-0P598551
44;Superstorm08;7448672;27022026-0Z974905
45;DominusMaximus;7431404;27022026-0P738248
46;Flatulax;7424710;28022026-0B542343
47;CrimsonCriminal;7424354;27022026-0O689243
48;Dradeliomecus;7386478;27022026-0Z314234
49;Michachisa;7345174;27022026-0Z906299
50;Fuzzy Cluster;7326506;27022026-0N679616
51;Aquarivs;7312470;27022026-0F386580
52;Sbanferr;7305294;27022026-0H732678
53;Scherom;7284386;27022026-0W568024
54;Damian 4488;7232736;27022026-0I914905
55;FESC10;7205586;27022026-0K379920
56;TankLadyB;7085526;27022026-0Q651757
57;Ati0307;6875102;27022026-0B736222
58;pontios1982;6081238;28022026-0Y425865
59;Ozzy181994;5556754;27022026-0H344530
60;Pablo 1010;5510934;27022026-0U303921
61;Lucifi3r;5458422;27022026-0E305366
62;Blo0dThiRsTy;5353700;27022026-0I809518
63;Ibo212121;5212238;27022026-0N823518
64;Myth pala;5020168;27022026-0I601222
65;Mepr;4986634;27022026-0O641712
66;UniField 101;4946886;27022026-0B621341
67;Bru line;4895368;02032026-0P562685
68;domba98;4721920;27022026-0T411972
69;straight 0090;4684794;27022026-0G246820
70;Jeremy2626;4663044;27022026-0X928765
71;Dedaloς;4563818;27022026-0Z983319
72;SkyEddy1;4506712;27022026-0U569979
73;UrGnie;4475610;27022026-0H771285
74;NagatoUwU;4198994;27022026-0Q184354
75;NOÉLINE;4098332;27022026-0F809577
76;Qrypsis;3979888;27022026-0J150156
77;Davidx08;3952276;27022026-0W370741
78;JG1000;3901376;28022026-0B188477
79;Olmer The Great I;3881526;27022026-0B805605
80;Bongomarvin;3736754;27022026-0R887817
81;Rafmac90;3711780;27022026-0B676774
82;SilenceBG;3661454;27022026-0N539263
83;finecIame;3610098;27022026-0J849824
84;CyberSagE;3538906;27022026-0R916570
85;serbus zagreb;3535904;27022026-0Z138970
86;Lady Voldegardine;3267540;27022026-0Z247821
87;Lord Voldemaschine;3143590;27022026-0S920742
88;Taibo1988;3061900;27022026-0G497261
89;Tata111225;3034624;27022026-0G180117
90;Miggaboy;2709034;27022026-0F445976
91;Krismaski;2548624;27022026-0G226654
92;Tugtug17;2499198;27022026-0N645728
93;ᴛᴀᴘɪ;2472408;27022026-0N598990
94;ThisIsLoreeP;2276500;27022026-0P478090
95;Quatraz;1667202;27022026-0U729737
96;CG  Kills;1533500;27022026-0O872732
