Index;Playername;Score;player_id
1;Rousssi;12701750;02032026-0I633901
2;StefNinja;11890975;27022026-0W942940
3;Lord Voldemaschine;11223000;27022026-0S920742
4;Muryōkūsho;11041269;27022026-0A442785
5;Sphen of love;10510825;27022026-666X284685
6;666pyro666;10308773;27022026-0F244542
7;Queen Anne ll;10213877;27022026-0U759405
8;Cherwoo White Rabbit;10040175;27022026-0A151185
9;Mystyyy;9937125;27022026-0J796045
10;Malloan;9619975;02032026-0F589565
11;Avonglati;9461000;27022026-0J535902
12;JG1000;9311965;28022026-0B188477
13;CG  Kills;8835050;27022026-0O872732
14;StanTheMan078;8616425;27022026-0E748278
15;Scoorpic;8590875;27022026-0M961163
16;Lady Voldemordine;8413125;27022026-0M302133
17;Sky Bum;8109450;27022026-0B964735
18;Jo8sk;8065379;02032026-0X761539
19;SkyEddy1;8010136;27022026-0U569979
20;Marcin747;7965750;27022026-0B443842
21;Fuzzy Cluster;7955191;27022026-0N679616
22;1nū KubØ;7939680;02032026-0L742379
23;atomic armadillo;7870500;27022026-0I789470
24;Chrizzly12;7766375;27022026-0Y629632
25;Superstorm08;7727845;27022026-0Z974905
26;serbus zagreb;7705000;27022026-0Z138970
27;Kiwi mojo;7704875;27022026-0X678465
28;CyberSagE;7656450;27022026-0R916570
29;Scherom;7615525;27022026-0W568024
30;Olmer The Great I;7599675;27022026-0B805605
31;Mapthemachine;7519825;02032026-0J916925
32;TankLadyB;7387575;27022026-0Q651757
33;Dradeliomecus;7350375;27022026-0Z314234
34;Memento x Mori;7347550;27022026-0O401672
35;Rafmac90;7340638;27022026-0B676774
36;Ati0307;7324500;27022026-0B736222
37;MateoJ3T;7321950;27022026-0X413496
38;Michachisa;7317418;27022026-0Z906299
39;krokre2;7316995;27022026-0P306296
40;Relnevs;7315625;27022026-0E317889
41;Bru line;7289500;02032026-0P562685
42;ponghi;7238025;27022026-0V597705
43;DominusMaximus;7233450;27022026-0P738248
44;whatyousay;7223975;28022026-0W747740
45;Alexys99;7220600;27022026-0F956013
46;Flatulax;7217375;28022026-0B542343
47;FESC10;7216050;27022026-0K379920
48;Mepr;7206750;27022026-0O641712
49;Kingstanator;7203375;27022026-0Z100227
50;Kaelvornn;7201450;28022026-0F323457
51;redskin sw;7024875;27022026-0X702646
52;Vaidosius;6906900;27022026-0N822529
53;Lucifi3r;6736205;27022026-0E305366
54;Bladerunner74;6699975;27022026-0Q377100
55;duffyduckling;6161000;27022026-0R593143
56;domba98;6134070;27022026-0T411972
57;Tata111225;6002825;27022026-0G180117
58;Krismaski;5867240;27022026-0G226654
59;NagatoUwU;5741300;27022026-0Q184354
60;out of game;5618553;27022026-0X534888
61;finecIame;5457125;27022026-0J849824
62;Damian 4488;5348000;27022026-0I914905
63;pontios1982;5319125;28022026-0Y425865
64;Myth pala;5236725;27022026-0I601222
65;Anarchythewildone;5150730;27022026-0B975195
66;Adiksonrpk;5118625;27022026-0F598013
67;Sparta2876;5113018;27022026-0L227344
68;Ozzy181994;4984750;27022026-0H344530
69;Ibo212121;4976200;27022026-0N823518
70;Sbanferr;4949800;27022026-0H732678
71;Pumarose;4787000;27022026-0U156592
72;Davidx08;4762600;27022026-0W370741
73;Mustang3110;4618096;27022026-0I448270
74;Taibo1988;4601150;27022026-0G497261
75;TåNø;4529375;27022026-0S338920
76;TesterXo;4524375;27022026-0B939820
77;Qrypsis;4351650;27022026-0J150156
78;NOÉLINE;4102450;27022026-0F809577
79;Bongomarvin;4101625;27022026-0R887817
80;Jeremy2626;3956250;27022026-0X928765
81;straight 0090;3907725;27022026-0G246820
82;Lady Voldegardine;3813375;27022026-0Z247821
83;Aquarivs;3724600;27022026-0F386580
84;Pablo 1010;3625150;27022026-0U303921
85;ThisIsLoreeP;3096725;27022026-0P478090
86;Blo0dThiRsTy;3089000;27022026-0I809518
87;CrimsonCriminal;3056385;27022026-0O689243
88;UniField 101;2975375;27022026-0B621341
89;Miggaboy;2920675;27022026-0F445976
90;SilenceBG;2603440;27022026-0N539263
91;Marcatuz;2602000;27022026-0P598551
92;ᴛᴀᴘɪ;2110370;27022026-0N598990
93;Dedaloς;1942250;27022026-0Z983319
94;Mighty Ghost;1070200;27022026-0D172164
